activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
324101,CHEMBL679946,CHEMBL1127568,CHEMBL66071,IC50,nM,20000.0,IC50,uM,20.0
324104,CHEMBL679946,CHEMBL1127568,CHEMBL67991,IC50,nM,20000.0,IC50,uM,20.0
324153,CHEMBL679946,CHEMBL1127568,CHEMBL303391,IC50,nM,25000.0,IC50,uM,25.0
324409,CHEMBL676067,CHEMBL1136802,CHEMBL118321,IC50,nM,7943.28,pIC50,,5.1
324411,CHEMBL676067,CHEMBL1136802,CHEMBL115895,IC50,nM,21877.62,pIC50,,4.66
324429,CHEMBL677388,CHEMBL1135889,CHEMBL283088,IC50,nM,200.0,IC50,uM,0.2
324431,CHEMBL691873,CHEMBL1135889,CHEMBL283088,IC50,nM,200.0,IC50,uM,0.2
324436,CHEMBL677388,CHEMBL1135889,CHEMBL2448067,IC50,nM,100.0,IC50,uM,0.1
324438,CHEMBL691873,CHEMBL1135889,CHEMBL2448067,IC50,nM,100.0,IC50,uM,0.1
325565,CHEMBL676067,CHEMBL1136802,CHEMBL56879,IC50,nM,10964.78,pIC50,,4.96
325567,CHEMBL676067,CHEMBL1136802,CHEMBL331026,IC50,nM,14454.4,pIC50,,4.84
325575,CHEMBL677388,CHEMBL1135889,CHEMBL1202477,IC50,nM,100.0,IC50,uM,0.1
325577,CHEMBL691873,CHEMBL1135889,CHEMBL1202477,IC50,nM,90.0,IC50,uM,0.09
326805,CHEMBL677388,CHEMBL1135889,CHEMBL416191,IC50,nM,300.0,IC50,uM,0.3
326807,CHEMBL691873,CHEMBL1135889,CHEMBL416191,IC50,nM,400.0,IC50,uM,0.4
327899,CHEMBL679946,CHEMBL1127568,CHEMBL66618,IC50,nM,20000.0,IC50,uM,20.0
327901,CHEMBL679946,CHEMBL1127568,CHEMBL67027,IC50,nM,700.0,IC50,uM,0.7
328238,CHEMBL676067,CHEMBL1136802,CHEMBL140213,IC50,nM,501187.23,pIC50,,3.3
