activity_id,assay_chembl_id,document_chembl_id,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
383413,CHEMBL677387,CHEMBL1130246,CHEMBL52076,IC50,nM,10.0,IC50,nM,10.0
383414,CHEMBL673451,CHEMBL1130246,CHEMBL52076,IC50,nM,110.0,IC50,nM,110.0
384687,CHEMBL677387,CHEMBL1130246,CHEMBL127611,IC50,nM,3.2,IC50,nM,3.2
385535,CHEMBL674029,CHEMBL1127050,CHEMBL82640,IC50,nM,100000.0,IC50,uM,100.0
385536,CHEMBL674029,CHEMBL1127050,CHEMBL81664,IC50,nM,1500.0,IC50,uM,1.5
385794,CHEMBL680028,CHEMBL1145020,CHEMBL113900,IC50,nM,250.0,IC50,uM,0.25
385799,CHEMBL680028,CHEMBL1145020,CHEMBL118000,IC50,nM,2290.0,IC50,uM,2.29
386241,CHEMBL677387,CHEMBL1130246,CHEMBL126623,IC50,nM,1.9,IC50,nM,1.9
386242,CHEMBL673451,CHEMBL1130246,CHEMBL126623,IC50,nM,8.1,IC50,nM,8.1
386249,CHEMBL677387,CHEMBL1130246,CHEMBL126903,IC50,nM,16.0,IC50,nM,16.0
387040,CHEMBL674029,CHEMBL1127050,CHEMBL84143,IC50,nM,3100.0,IC50,uM,3.1
387974,CHEMBL677387,CHEMBL1130246,CHEMBL127086,IC50,nM,0.61,IC50,nM,0.61
387975,CHEMBL673451,CHEMBL1130246,CHEMBL127086,IC50,nM,11400.0,IC50,nM,11400.0
388709,CHEMBL674029,CHEMBL1127050,CHEMBL83429,IC50,nM,14900.0,IC50,uM,14.9
388710,CHEMBL674029,CHEMBL1127050,CHEMBL312001,IC50,nM,100000.0,IC50,uM,100.0
