molecule_chembl_id,canonical_smiles,prediction,confidence,mean_probability_active,uncertainty_std
CHEMBL118205,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3o2)c1O,Inactive,78.14,0.2186,0.0176
CHEMBL283088,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCN1CCN(C)CC1,Active,98.87,0.9887,0.0058
CHEMBL6054383,C=CC(=O)N1CCC[C@H](Oc2nc(Nc3ccc(OC)nc3)ncc2F)C1,Active,85.25,0.8525,0.0117
CHEMBL6022978,COCCOc1cc2ncnc(Nc3ccc(C)c(C#N)c3)c2c2c1OCCO2,Active,98.0,0.98,0.0056
CHEMBL137422,CNC(=O)c1c([Se][Se]c2c(C(=O)NC)c3ccccc3n2C)n(C)c2ccccc12,Inactive,98.87,0.0113,0.0045
CHEMBL290096,Brc1cccc(Nc2ncnc3ccccc23)c1,Active,90.87,0.9087,0.016
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,Active,95.2,0.952,0.0081
CHEMBL131407,O=C(O)c1cc(NCc2ccccc2O)ccc1O,Inactive,84.2,0.158,0.0203
CHEMBL119987,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O,Inactive,64.8,0.352,0.0245
CHEMBL66643,COc1cc2cc(-c3ccsc3)cnc2cc1OC,Inactive,99.8,0.002,0.0016
CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,Active,97.47,0.9747,0.0081
CHEMBL337297,CO[C@H]1[C@@H](N(C)C(=O)c2cnccn2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Inactive,85.8,0.142,0.0121
CHEMBL69820,COc1cc2cc(-c3ccc(Cl)s3)cnc2cc1OC,Inactive,97.33,0.0267,0.007
CHEMBL302491,COc1cc2cc(-c3cccc(F)c3)cnc2cc1OC,Inactive,95.73,0.0427,0.0039
CHEMBL111038,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,Active,81.47,0.8147,0.0144
CHEMBL334697,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Active,79.13,0.7913,0.0229
CHEMBL136178,CC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,Active,99.47,0.9947,0.004
CHEMBL3088225,Cc1ncc([N+](=O)[O-])n1C/C(=N/NC(=O)c1ccccc1)c1ccc(Br)cc1,Inactive,97.18,0.0282,0.0046
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,Active,84.67,0.8467,0.0087
CHEMBL300217,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,Active,99.2,0.992,0.0034
CHEMBL4796010,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C,Active,91.2,0.912,0.0186
CHEMBL3545311,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,Active,87.16,0.8716,0.0096
CHEMBL489147,COc1cc(C(C#N)=C(C#N)C#N)cc(O)c1O,Inactive,92.8,0.072,0.0136
CHEMBL1095131,Nc1nc(Nc2cccc(F)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,Inactive,95.8,0.042,0.0105
CHEMBL340399,Cc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,Active,96.87,0.9687,0.0054
CHEMBL5436101,C=CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(NC(C)C)c23)c1,Active,96.43,0.9643,0.0099
CHEMBL153739,CN(C)c1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,Active,98.93,0.9893,0.0053
CHEMBL137189,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,Active,98.13,0.9813,0.0065
CHEMBL491174,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,Active,55.29,0.5529,0.0324
CHEMBL4204566,C=CC(=O)N[C@H]1CN(c2nc(Nc3cnn(C)c3)c3ncn(C(C)C)c3n2)C[C@@H]1F,Active,89.8,0.898,0.0102
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,Active,74.73,0.7473,0.035
CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,Active,53.28,0.5328,0.0174
CHEMBL115440,COCCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,Active,96.53,0.9653,0.0091
CHEMBL37099,Cc1nc(Nc2cccc(Br)c2)c2ccccc2n1,Inactive,53.47,0.4653,0.0105
CHEMBL437890,CN1CCN(CCC#CC(=O)Nc2cc3c(Nc4ccc(F)c(Br)c4)ncnc3cn2)CC1,Active,97.76,0.9776,0.0062
CHEMBL542484,COc1cc2ncnc(Nc3ccccc3)c2cc1OC.Cl,Active,84.4,0.844,0.0144
CHEMBL128432,CN(C)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,Active,98.33,0.9833,0.006
CHEMBL5946210,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC)nc3)ncc2OC)c1,Active,98.73,0.9873,0.0065
CHEMBL420400,COC(=O)CCCc1c(SSc2[nH]c3ccccc3c2CCCC(=O)OC)[nH]c2ccccc12,Inactive,96.4,0.036,0.0095
CHEMBL343875,CCOc1ccc2sc(SCc3cc(/C=C(\C#N)C(N)=O)cc(OC)c3O)nc2c1,Inactive,83.89,0.1611,0.0258
CHEMBL5922445,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,Active,72.15,0.7215,0.0253
CHEMBL64231,Cn1c(SSCc2ccccc2)c(C(=O)Nc2ccccc2)c2ccccc21,Inactive,94.33,0.0567,0.0047
CHEMBL6144434,CCC(=O)Nc1cccc(Nc2nc(Nc3ccc4c(C)n(C)nc4c3)ncc2Cl)c1,Active,96.38,0.9638,0.0056
CHEMBL4786701,C=CC(=O)Nc1cc(Nc2cc(-n3c(SC)nnc3-c3ccc(F)cc3)ccn2)c(OC)cc1N1CCCN(C)CC1,Active,91.56,0.9156,0.0185
CHEMBL202556,O=C(C#CCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,Active,98.82,0.9882,0.0023
CHEMBL83837,COC(=O)Cc1c(SSc2c(CC(=O)OC)c3ccccc3n2C)n(C)c2ccccc12,Inactive,99.93,0.0007,0.0013
CHEMBL355191,COc1cccc(-c2cn(C3CCC3)c3ncnc(N)c23)c1,Active,86.93,0.8693,0.0184
CHEMBL309513,COC(=O)CCN1C(=S)C(CCC(=O)OC)(CCC(=O)OC)c2ccccc21,Inactive,96.89,0.0311,0.0048
