molecule_chembl_id,canonical_smiles,prediction,confidence,mean_probability_active,uncertainty_std
CHEMBL340700,CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,Active,99.8,0.998,0.0016
CHEMBL1277254,COc1ccc(NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)cc1,Inactive,96.4,0.036,0.0136
CHEMBL54471,Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1,Inactive,99.93,0.0007,0.0013
CHEMBL98798,COc1cc2ncnc(Oc3cccc(Br)c3)c2cc1OC,Inactive,68.0,0.32,0.0309
CHEMBL138363,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,Active,97.87,0.9787,0.0016
CHEMBL138940,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,Active,95.2,0.952,0.0126
CHEMBL338944,CO[C@H]1[C@@H](N(C)C(=O)c2cccc(Cl)c2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Inactive,93.4,0.066,0.0142
CHEMBL59812,CC(=O)Oc1cccc2c1c(C(=O)Nc1ccccc1)c(SSc1c(C(=O)Nc3ccccc3)c3c(OC(C)=O)cccc3n1C)n2C,Inactive,99.13,0.0087,0.0034
CHEMBL102651,C[C@@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,Inactive,56.8,0.432,0.0315
CHEMBL303037,COc1cc2cc(N)cnc2cc1OC,Inactive,91.4,0.086,0.0132
CHEMBL2448066,COc1cc2c(Nc3cc(O)c(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,Active,94.73,0.9473,0.0071
CHEMBL423159,COC(=O)c1cc(NCc2cccc(O)c2)ccc1O,Inactive,92.36,0.0764,0.0104
CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,Inactive,87.13,0.1287,0.0175
CHEMBL286160,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,Active,96.4,0.964,0.0083
CHEMBL1095776,CC(C)c1ccccc1Nc1nc(N)nc2[nH]c(Cc3ccc(Cl)cc3Cl)cc12,Inactive,85.58,0.1442,0.0165
CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,Active,72.95,0.7295,0.0255
CHEMBL299194,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,Active,64.67,0.6467,0.0105
CHEMBL15346,CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,Active,99.8,0.998,0.0027
CHEMBL54067,CN(C)CCNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,Active,98.53,0.9853,0.0045
CHEMBL1095762,Nc1nc(Nc2ccc(Br)cc2Cl)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1,Inactive,86.09,0.1391,0.0131
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,Active,95.8,0.958,0.0119
CHEMBL449114,N#CC(C#N)=C(C#N)c1cccc(O)c1,Inactive,90.2,0.098,0.0247
CHEMBL303704,COc1cc2cc(-c3ccc(O)cc3)cnc2cc1OC,Inactive,98.07,0.0193,0.0057
CHEMBL293749,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,Inactive,69.73,0.3027,0.0187
CHEMBL1229592,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,Active,97.58,0.9758,0.0122
CHEMBL77595,N#C/C(=C\c1ccccc1)C(=O)O,Inactive,98.8,0.012,0.0083
CHEMBL544867,Cc1cccc(Nc2ncnc3c2sc2ccc([N+](=O)[O-])cc23)c1.Cl,Active,99.2,0.992,0.004
CHEMBL89010,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,Inactive,96.87,0.0313,0.0124
CHEMBL338114,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,Active,95.73,0.9573,0.0095
CHEMBL66101,COc1ccc(/C=C/c2cnc3cc(OC)c(OC)cc3c2)cc1,Inactive,98.6,0.014,0.0039
CHEMBL5436057,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(NCCO)c23)c1,Active,88.13,0.8813,0.018
CHEMBL3092305,COC(=O)/C=C/CNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,Active,70.13,0.7013,0.0142
CHEMBL307179,COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,Inactive,99.07,0.0093,0.0033
CHEMBL323699,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCc3ccccn3)nc21,Inactive,85.13,0.1487,0.0254
CHEMBL3604940,C=CC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccc(Br)cc34)cc(N3CCN(C)CC3)n2)c1,Active,67.71,0.6771,0.0204
CHEMBL243664,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,Inactive,67.47,0.3253,0.0144
CHEMBL553137,Cl.Cn1c2ccccc2c2ncnc(Nc3cccc(Br)c3)c21,Active,82.07,0.8207,0.0151
CHEMBL53310,CNc1ncc2ncnc(Nc3ccccc3)c2n1,Active,72.73,0.7273,0.0323
